(00:00:00:000, 0.10, 0.50, 0.50, 0.00, 900, 100, 1000, 1000, 1000, 1000)
(00:00:01:000, 0.15, 0.50, 0.50, 0.00, 850, 150, 1000, 1000, 1000, 1000)
(00:00:02:000, 0.20, 0.50, 0.50, 0.00, 800, 200, 1000, 1000, 1000, 1000)
(00:00:03:000, 0.25, 0.50, 0.50, 0.00, 750, 250, 1000, 1000, 1000, 1000)
(00:00:04:000, 0.30, 0.50, 0.50, 0.00, 700, 300, 1000, 1000, 1000, 1000)
(00:00:05:000, 0.35, 0.50, 0.50, 0.00, 650, 350, 1000, 1000, 1000, 1000)
(00:00:06:000, 0.40, 0.50, 0.50, 0.00, 600, 400, 1000, 1000, 1000, 1000)
(00:00:07:000, 0.45, 0.50, 0.50, 0.00, 549, 450, 1000, 1000, 1000, 1000)
(00:00:08:000, 0.50, 0.50, 0.50, 0.00, 500, 500, 1000, 1000, 1000, 1000)
(00:00:09:000, 0.55, 0.50, 0.50, 0.00, 449, 550, 1000, 1000, 1000, 1000)
(00:00:10:000, 0.60, 0.50, 0.50, 0.00, 400, 600, 1000, 1000, 1000, 1000)
(00:00:11:000, 0.65, 0.50, 0.50, 0.00, 350, 650, 1000, 1000, 1000, 1000)
(00:00:12:000, 0.70, 0.50, 0.50, 0.00, 299, 700, 1000, 1000, 1000, 1000)
(00:00:13:000, 0.75, 0.50, 0.50, 0.00, 250, 750, 1000, 1000, 1000, 1000)
(00:00:14:000, 0.80, 0.50, 0.50, 0.00, 199, 800, 1000, 1000, 1000, 1000)
(00:00:15:000, 0.85, 0.50, 0.50, 0.00, 150, 850, 1000, 1000, 1000, 1000)
(00:00:16:000, 0.90, 0.50, 0.50, 0.00, 99, 900, 1000, 1000, 1000, 1000)
