index,x,y,z,yaw,distance
0,0,0.00,0.00,0.00,0.00
1,1,0.00,0.00,0.00,0.00
2,2,0.00,0.00,0.00,0.00
3,3,0.00,0.00,0.00,0.00
4,4,0.00,0.00,0.00,0.00
5,5,0.00,0.00,0.00,0.00
6,6,0.00,0.00,0.00,0.00
7,7,0.00,0.00,0.00,0.00
8,8,0.00,0.00,0.00,0.00
9,9,0.00,0.00,0.00,0.00
10,10,0.00,0.00,0.00,0.00
11,11,0.00,0.00,0.00,0.00
12,12,0.00,0.00,0.00,0.00
13,13,0.00,0.00,0.00,0.00
14,14,0.00,0.00,0.00,0.00
15,15,0.00,0.00,0.00,0.00
16,16,0.00,0.00,0.00,0.00
17,17,0.00,0.00,0.00,0.00
18,18,0.00,0.00,0.00,0.00
19,19,0.00,0.00,0.00,0.00
20,20,0.00,0.00,0.00,0.00
21,21,0.00,0.00,0.00,0.00
22,22,0.00,0.00,0.00,0.00
23,23,0.00,0.00,0.00,0.00
24,24,0.00,0.00,0.00,0.00
25,25,0.00,0.00,0.00,0.00
26,26,0.00,0.00,0.00,0.00
27,27,0.00,0.00,0.00,0.00
28,28,0.00,0.00,0.00,0.00
29,29,0.00,0.00,0.00,0.00
30,30,0.00,0.00,0.00,0.00
31,31,0.00,0.00,0.00,0.00
32,32,0.00,0.00,0.00,0.00
33,33,0.00,0.00,0.00,0.00
34,34,0.00,0.00,0.00,0.00
35,35,0.00,0.00,0.00,0.00
36,36,0.00,0.00,0.00,0.00
37,37,0.00,0.00,0.00,0.00
38,38,0.00,0.00,0.00,0.00
39,39,0.00,0.00,0.00,0.00
40,40,0.00,0.00,0.00,0.00
41,41,0.00,0.00,0.00,0.00
42,42,0.00,0.00,0.00,0.00
43,43,0.00,0.00,0.00,0.00
44,44,0.00,0.00,0.00,0.00
45,45,0.00,0.00,0.00,0.00
46,46,0.00,0.00,0.00,0.00
47,47,0.00,0.00,0.00,0.00
48,48,0.00,0.00,0.00,0.00
49,49,0.00,0.00,0.00,0.00
