index,x,y,z,yaw,distance
0,0,0.00,0.00,0.00,0.00
1,1,0.00,0.00,0.00,0.00
2,2,0.00,0.00,0.00,0.00
3,3,0.00,0.00,0.00,0.00
4,4,0.00,0.00,0.00,0.00
5,5,0.00,0.00,0.00,0.00
6,6,0.00,0.00,0.00,0.00
7,7,0.00,0.00,0.00,0.00
8,8,0.00,0.00,0.00,0.00
9,9,0.00,0.00,0.00,0.00
10,10,0.00,0.00,0.00,0.00
11,11,0.00,0.00,0.00,0.00
12,12,0.00,0.00,0.00,0.00
13,13,0.00,0.00,0.00,0.00
14,14,0.00,0.00,0.00,0.00
15,15,0.00,0.00,0.00,0.00
16,16,0.00,0.00,0.00,0.00
17,17,0.00,0.00,0.00,0.00
18,18,0.00,0.00,0.00,0.00
19,19,0.00,0.00,0.00,0.00
20,20,0.00,0.00,0.00,0.00
21,21,0.00,0.00,0.00,0.00
22,22,0.00,0.00,0.00,0.00
23,23,0.00,0.00,0.00,0.00
24,24,0.00,0.00,0.00,0.00
25,25,0.00,0.00,0.00,0.00
26,26,0.00,0.00,0.00,0.00
27,27,0.00,0.00,0.00,0.00
28,28,0.00,0.00,0.00,0.00
29,29,0.00,0.00,0.00,0.00
30,30,0.00,0.00,0.00,0.00
31,31,0.00,0.00,0.00,0.00
32,32,0.00,0.00,0.00,0.00
33,33,0.00,0.00,0.00,0.00
34,34,0.00,0.00,0.00,0.00
35,35,0.00,0.00,0.00,0.00
36,36,0.00,0.00,0.00,0.00
37,37,0.00,0.00,0.00,0.00
38,38,0.00,0.00,0.00,0.00
39,39,0.00,0.00,0.00,0.00
40,40,0.00,0.00,0.00,0.00
41,41,0.00,0.00,0.00,0.00
42,42,0.00,0.00,0.00,0.00
43,43,0.00,0.00,0.00,0.00
44,44,0.00,0.00,0.00,0.00
45,45,0.00,0.00,0.00,0.00
46,46,0.00,0.00,0.00,0.00
47,47,0.00,0.00,0.00,0.00
48,48,0.00,0.00,0.00,0.00
49,49,0.00,0.00,0.00,0.00
50,50,0.00,0.00,0.00,0.00
51,51,0.00,0.00,0.00,0.00
52,52,0.00,0.00,0.00,0.00
53,53,0.00,0.00,0.00,0.00
54,54,0.00,0.00,0.00,0.00
55,55,0.00,0.00,0.00,0.00
56,56,0.00,0.00,0.00,0.00
57,57,0.00,0.00,0.00,0.00
58,58,0.00,0.00,0.00,0.00
59,59,0.00,0.00,0.00,0.00
60,60,0.00,0.00,0.00,0.00
61,61,0.00,0.00,0.00,0.00
62,62,0.00,0.00,0.00,0.00
63,63,0.00,0.00,0.00,0.00
64,64,0.00,0.00,0.00,0.00
65,65,0.00,0.00,0.00,0.00
66,66,0.00,0.00,0.00,0.00
67,67,0.00,0.00,0.00,0.00
68,68,0.00,0.00,0.00,0.00
69,69,0.00,0.00,0.00,0.00
70,70,0.00,0.00,0.00,0.00
71,71,0.00,0.00,0.00,0.00
72,72,0.00,0.00,0.00,0.00
73,73,0.00,0.00,0.00,0.00
74,74,0.00,0.00,0.00,0.00
75,75,0.00,0.00,0.00,0.00
76,76,0.00,0.00,0.00,0.00
77,77,0.00,0.00,0.00,0.00
78,78,0.00,0.00,0.00,0.00
79,79,0.00,0.00,0.00,0.00
80,80,0.00,0.00,0.00,0.00
81,81,0.00,0.00,0.00,0.00
82,82,0.00,0.00,0.00,0.00
83,83,0.00,0.00,0.00,0.00
84,84,0.00,0.00,0.00,0.00
85,85,0.00,0.00,0.00,0.00
86,86,0.00,0.00,0.00,0.00
87,87,0.00,0.00,0.00,0.00
88,88,0.00,0.00,0.00,0.00
89,89,0.00,0.00,0.00,0.00
90,90,0.00,0.00,0.00,0.00
91,91,0.00,0.00,0.00,0.00
92,92,0.00,0.00,0.00,0.00
93,93,0.00,0.00,0.00,0.00
94,94,0.00,0.00,0.00,0.00
95,95,0.00,0.00,0.00,0.00
96,96,0.00,0.00,0.00,0.00
97,97,0.00,0.00,0.00,0.00
98,98,0.00,0.00,0.00,0.00
99,99,0.00,0.00,0.00,0.00
100,100,0.00,0.00,0.00,0.00
101,101,0.00,0.00,0.00,0.00
102,102,0.00,0.00,0.00,0.00
103,103,0.00,0.00,0.00,0.00
104,104,0.00,0.00,0.00,0.00
105,105,0.00,0.00,0.00,0.00
106,106,0.00,0.00,0.00,0.00
107,107,0.00,0.00,0.00,0.00
108,108,0.00,0.00,0.00,0.00
109,109,0.00,0.00,0.00,0.00
110,110,0.00,0.00,0.00,0.00
111,111,0.00,0.00,0.00,0.00
112,112,0.00,0.00,0.00,0.00
113,113,0.00,0.00,0.00,0.00
114,114,0.00,0.00,0.00,0.00
115,115,0.00,0.00,0.00,0.00
116,116,0.00,0.00,0.00,0.00
117,117,0.00,0.00,0.00,0.00
118,118,0.00,0.00,0.00,0.00
119,119,0.00,0.00,0.00,0.00
120,120,0.00,0.00,0.00,0.00
121,121,0.00,0.00,0.00,0.00
122,122,0.00,0.00,0.00,0.00
123,123,0.00,0.00,0.00,0.00
124,124,0.00,0.00,0.00,0.00
125,125,0.00,0.00,0.00,0.00
126,126,0.00,0.00,0.00,0.00
127,127,0.00,0.00,0.00,0.00
128,128,0.00,0.00,0.00,0.00
129,129,0.00,0.00,0.00,0.00
130,130,0.00,0.00,0.00,0.00
131,131,0.00,0.00,0.00,0.00
132,132,0.00,0.00,0.00,0.00
133,133,0.00,0.00,0.00,0.00
134,134,0.00,0.00,0.00,0.00
135,135,0.00,0.00,0.00,0.00
136,136,0.00,0.00,0.00,0.00
137,137,0.00,0.00,0.00,0.00
138,138,0.00,0.00,0.00,0.00
139,139,0.00,0.00,0.00,0.00
140,140,0.00,0.00,0.00,0.00
141,141,0.00,0.00,0.00,0.00
142,142,0.00,0.00,0.00,0.00
143,143,0.00,0.00,0.00,0.00
144,144,0.00,0.00,0.00,0.00
145,145,0.00,0.00,0.00,0.00
146,146,0.00,0.00,0.00,0.00
147,147,0.00,0.00,0.00,0.00
148,148,0.00,0.00,0.00,0.00
149,149,0.00,0.00,0.00,0.00
150,150,0.00,0.00,0.00,0.00
151,151,0.00,0.00,0.00,0.00
152,152,0.00,0.00,0.00,0.00
153,153,0.00,0.00,0.00,0.00
154,154,0.00,0.00,0.00,0.00
155,155,0.00,0.00,0.00,0.00
156,156,0.00,0.00,0.00,0.00
157,157,0.00,0.00,0.00,0.00
158,158,0.00,0.00,0.00,0.00
159,159,0.00,0.00,0.00,0.00
160,160,0.00,0.00,0.00,0.00
161,161,0.00,0.00,0.00,0.00
162,162,0.00,0.00,0.00,0.00
